Date,Home,Away,season,ML_Home,ML_Away,Win_Margin,market_home,market_away,model_home_prob,model_away_prob,edge_home,edge_away,home_won,bet_side,bet_edge,model_prob,entry_price,bet_won,opp_won,is_favorite,home_q1_pts,away_q1_pts,q1_diff_home,q1_diff_bet,est_q1_bet_price,est_q1_opp_price
2012-11-10,Portland Trail Blazers,San Antonio Spurs,2012-13,120,-140,-3,0.45454545454545453,0.5833333333333334,0.3494,0.6506,-0.10514545454545454,0.06726666666666659,0,none,0.0,0.0,0.0,,,False,26.0,26.0,0.0,,,
2012-11-10,Indiana Pacers,Washington Wizards,2012-13,-360,300,4,0.782608695652174,0.25,0.644,0.356,-0.13860869565217393,0.10599999999999998,1,none,0.0,0.0,0.0,,,False,23.0,22.0,1.0,,,
2012-11-10,Charlotte Hornets,Dallas Mavericks,2012-13,220,-260,4,0.3125,0.7222222222222222,,,,,1,none,0.0,0.0,0.0,,,False,24.0,21.0,3.0,,,
2012-11-11,Los Angeles Lakers,Sacramento Kings,2012-13,-680,490,13,0.8717948717948718,0.1694915254237288,0.6071,0.3929,-0.26469487179487183,0.22340847457627122,1,none,0.0,0.0,0.0,,,False,29.0,22.0,7.0,,,
2012-11-11,Brooklyn Nets,Orlando Magic,2012-13,-400,320,8,0.8,0.23809523809523808,0.5716,0.4284,-0.22840000000000005,0.19030476190476192,1,none,0.0,0.0,0.0,,,False,35.0,17.0,18.0,,,
2012-11-11,Memphis Grizzlies,Miami Heat,2012-13,115,-135,18,0.46511627906976744,0.574468085106383,0.4443,0.5557,-0.020816279069767463,-0.01876808510638306,1,none,0.0,0.0,0.0,,,False,22.0,21.0,1.0,,,
2012-11-11,LA Clippers,Atlanta Hawks,2012-13,-260,220,13,0.7222222222222222,0.3125,,,,,1,none,0.0,0.0,0.0,,,False,18.0,19.0,-1.0,,,
2012-11-11,Oklahoma City Thunder,Cleveland Cavaliers,2012-13,-600,450,15,0.8571428571428571,0.18181818181818182,0.711,0.289,-0.14614285714285713,0.10718181818181816,1,none,0.0,0.0,0.0,,,False,27.0,21.0,6.0,,,
2012-11-12,Toronto Raptors,Utah Jazz,2012-13,130,-150,-7,0.43478260869565216,0.6,0.4305,0.5695,-0.004282608695652168,-0.03049999999999997,0,none,0.0,0.0,0.0,,,False,28.0,26.0,2.0,,,
2012-11-12,Philadelphia 76ers,Milwaukee Bucks,2012-13,-170,150,-9,0.6296296296296297,0.4,0.4677,0.5323,-0.16192962962962965,0.13229999999999997,0,away,0.13229999999999997,0.5323,0.4,True,False,False,26.0,34.0,-8.0,8.0,0.4759,0.5241
2012-11-12,Detroit Pistons,Oklahoma City Thunder,2012-13,250,-300,-2,0.2857142857142857,0.75,0.2701,0.7299,-0.015614285714285692,-0.020100000000000007,0,none,0.0,0.0,0.0,,,False,23.0,25.0,-2.0,,,
2012-11-12,Chicago Bulls,Boston Celtics,2012-13,-145,125,-6,0.5918367346938775,0.4444444444444444,0.5928,0.4072,0.0009632653061224516,-0.03724444444444441,0,none,0.0,0.0,0.0,,,False,27.0,33.0,-6.0,,,
2012-11-12,Houston Rockets,Miami Heat,2012-13,190,-230,-3,0.3448275862068966,0.696969696969697,0.4061,0.5939,0.06127241379310344,-0.10306969696969703,0,none,0.0,0.0,0.0,,,False,19.0,25.0,-6.0,,,
2012-11-12,Dallas Mavericks,Minnesota Timberwolves,2012-13,-290,245,-8,0.7435897435897436,0.2898550724637681,0.6053,0.3947,-0.13828974358974366,0.10484492753623187,0,none,0.0,0.0,0.0,,,False,17.0,25.0,-8.0,,,
2012-11-12,Phoenix Suns,Denver Nuggets,2012-13,170,-200,10,0.37037037037037035,0.6666666666666666,0.4135,0.5865,0.04312962962962963,-0.08016666666666661,1,none,0.0,0.0,0.0,,,False,23.0,27.0,-4.0,,,
2012-11-12,Portland Trail Blazers,Atlanta Hawks,2012-13,-150,130,-8,0.6,0.43478260869565216,0.4742,0.5258,-0.12579999999999997,0.09101739130434788,0,away,0.09101739130434788,0.5258,0.43478260869565216,True,False,False,22.0,28.0,-6.0,6.0,0.48958695652173906,0.510413043478261
2012-11-13,Sacramento Kings,Portland Trail Blazers,2012-13,-140,120,-17,0.5833333333333334,0.45454545454545453,0.4257,0.5743,-0.15763333333333335,0.1197545454545455,0,away,0.1197545454545455,0.5743,0.45454545454545453,True,False,False,18.0,25.0,-7.0,7.0,0.5178727272727273,0.48212727272727274
2012-11-13,Los Angeles Lakers,San Antonio Spurs,2012-13,103,-114,-2,0.49261083743842365,0.5327102803738317,0.4688,0.5312,-0.02381083743842366,-0.0015102803738317183,0,none,0.0,0.0,0.0,,,False,24.0,18.0,6.0,,,
2012-11-13,Indiana Pacers,Toronto Raptors,2012-13,-500,400,-2,0.8333333333333334,0.2,0.6197,0.3803,-0.21363333333333334,0.18030000000000002,0,none,0.0,0.0,0.0,,,False,21.0,29.0,-8.0,,,
2012-11-13,Charlotte Hornets,Washington Wizards,2012-13,-130,110,16,0.5652173913043478,0.47619047619047616,,,,,1,none,0.0,0.0,0.0,,,False,23.0,27.0,-4.0,,,
2012-11-13,Orlando Magic,New York Knicks,2012-13,255,-310,-10,0.28169014084507044,0.7560975609756098,0.2662,0.7338,-0.015490140845070444,-0.022297560975609754,0,none,0.0,0.0,0.0,,,False,23.0,27.0,-4.0,,,
2012-11-13,Brooklyn Nets,Cleveland Cavaliers,2012-13,-230,190,13,0.696969696969697,0.3448275862068966,0.6961,0.3039,-0.0008696969696969648,-0.04092758620689657,1,none,0.0,0.0,0.0,,,False,29.0,30.0,-1.0,,,
2012-11-14,LA Clippers,Miami Heat,2012-13,100,-110,7,0.5,0.5238095238095238,,,,,1,none,0.0,0.0,0.0,,,False,25.0,24.0,1.0,,,
2012-11-14,Golden State Warriors,Atlanta Hawks,2012-13,-113,102,4,0.5305164319248826,0.49504950495049505,0.4474,0.5526,-0.0831164319248826,0.057550495049504935,1,none,0.0,0.0,0.0,,,False,22.0,21.0,1.0,,,
2012-11-14,Dallas Mavericks,Washington Wizards,2012-13,-400,320,6,0.8,0.23809523809523808,0.7608,0.2392,-0.03920000000000001,0.001104761904761914,1,none,0.0,0.0,0.0,,,False,23.0,19.0,4.0,,,
2012-11-14,Phoenix Suns,Chicago Bulls,2012-13,130,-150,-6,0.43478260869565216,0.6,0.3729,0.6271,-0.06188260869565215,0.027100000000000013,0,none,0.0,0.0,0.0,,,False,27.0,29.0,-2.0,,,
2012-11-14,Oklahoma City Thunder,Memphis Grizzlies,2012-13,-220,180,-10,0.6875,0.35714285714285715,0.53,0.47,-0.15749999999999997,0.11285714285714282,0,away,0.11285714285714282,0.47,0.35714285714285715,True,False,False,30.0,20.0,10.0,-10.0,0.26257857142857144,0.7374214285714286
